set_id,error_type,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
bl_step_crossing__ni_k2_r2,hand_error,1800,133,0.07388888888888889,281,0,0.0,0.0,0.08755760368663594,0.0
bl_step_crossing__ni_k2_r2,within_hand_finger_error,1800,133,0.07388888888888889,111,15,0.13513513513513514,0.11278195488721804,0.06986382474837181,1.8288965657386709
bl_step_crossing__ni_k2_r4,exact_error,1800,228,0.12666666666666668,392,22,0.05612244897959184,0.09649122807017543,0.14630681818181818,0.4430719656283566
bl_step_crossing__ni_k2_r4,hand_error,1800,228,0.12666666666666668,281,0,0.0,0.0,0.15009874917709018,0.0
bl_step_crossing__ni_k2_r4,within_hand_finger_error,1800,228,0.12666666666666668,111,22,0.1981981981981982,0.09649122807017543,0.12196566015393724,1.5647226173541962
bl_step_crossing__ni_k3_r1,exact_error,1800,25,0.013888888888888888,392,4,0.01020408163265306,0.16,0.014914772727272728,0.7346938775510204
bl_step_crossing__ni_k3_r1,hand_error,1800,25,0.013888888888888888,281,0,0.0,0.0,0.016458196181698487,0.0
bl_step_crossing__ni_k3_r1,within_hand_finger_error,1800,25,0.013888888888888888,111,4,0.036036036036036036,0.16,0.012433392539964476,2.5945945945945947
bl_step_crossing__ni_k3_r2,exact_error,1800,40,0.022222222222222223,392,6,0.015306122448979591,0.15,0.024147727272727272,0.6887755102040817
bl_step_crossing__ni_k3_r2,hand_error,1800,40,0.022222222222222223,281,0,0.0,0.0,0.026333113890717578,0.0
bl_step_crossing__ni_k3_r2,within_hand_finger_error,1800,40,0.022222222222222223,111,6,0.05405405405405406,0.15,0.020130254588513915,2.4324324324324325
bl_step_crossing__ni_k3_r4,exact_error,1800,71,0.03944444444444444,392,10,0.025510204081632654,0.14084507042253522,0.04332386363636364,0.6467375682667433
bl_step_crossing__ni_k3_r4,hand_error,1800,71,0.03944444444444444,281,0,0.0,0.0,0.0467412771560237,0.0
bl_step_crossing__ni_k3_r4,within_hand_finger_error,1800,71,0.03944444444444444,111,10,0.09009009009009009,0.14084507042253522,0.036116044997039666,2.2839741149600306
bl_step_crossing__ni_k5_r1,exact_error,1800,10,0.005555555555555556,392,3,0.007653061224489796,0.3,0.004971590909090909,1.3775510204081634
bl_step_crossing__ni_k5_r1,hand_error,1800,10,0.005555555555555556,281,0,0.0,0.0,0.0065832784726793945,0.0
bl_step_crossing__ni_k5_r1,within_hand_finger_error,1800,10,0.005555555555555556,111,3,0.02702702702702703,0.3,0.0041444641799881585,4.864864864864865
bl_step_crossing__ni_k5_r2,exact_error,1800,10,0.005555555555555556,392,3,0.007653061224489796,0.3,0.004971590909090909,1.3775510204081634
bl_step_crossing__ni_k5_r2,hand_error,1800,10,0.005555555555555556,281,0,0.0,0.0,0.0065832784726793945,0.0
bl_step_crossing__ni_k5_r2,within_hand_finger_error,1800,10,0.005555555555555556,111,3,0.02702702702702703,0.3,0.0041444641799881585,4.864864864864865
bl_step_crossing__ni_k5_r4,exact_error,1800,10,0.005555555555555556,392,3,0.007653061224489796,0.3,0.004971590909090909,1.3775510204081634
bl_step_crossing__ni_k5_r4,hand_error,1800,10,0.005555555555555556,281,0,0.0,0.0,0.0065832784726793945,0.0
bl_step_crossing__ni_k5_r4,within_hand_finger_error,1800,10,0.005555555555555556,111,3,0.02702702702702703,0.3,0.0041444641799881585,4.864864864864865
bl_rate_q995__ni_k2_r1,exact_error,1800,79,0.04388888888888889,392,8,0.02040816326530612,0.10126582278481013,0.05042613636363636,0.46499612503229143
bl_rate_q995__ni_k2_r1,hand_error,1800,79,0.04388888888888889,281,0,0.0,0.0,0.05200789993416721,0.0
bl_rate_q995__ni_k2_r1,within_hand_finger_error,1800,79,0.04388888888888889,111,8,0.07207207207207207,0.10126582278481013,0.04203670811130847,1.6421484775915156
bl_rate_q995__ni_k2_r2,exact_error,1800,135,0.075,392,15,0.03826530612244898,0.1111111111111111,0.08522727272727272,0.5102040816326531
bl_rate_q995__ni_k2_r2,hand_error,1800,135,0.075,281,0,0.0,0.0,0.08887425938117183,0.0
bl_rate_q995__ni_k2_r2,within_hand_finger_error,1800,135,0.075,111,15,0.13513513513513514,0.1111111111111111,0.07104795737122557,1.8018018018018016
bl_rate_q995__ni_k2_r4,exact_error,1800,231,0.12833333333333333,392,22,0.05612244897959184,0.09523809523809523,0.1484375,0.43731778425655976
bl_rate_q995__ni_k2_r4,hand_error,1800,231,0.12833333333333333,281,0,0.0,0.0,0.15207373271889402,0.0
bl_rate_q995__ni_k2_r4,within_hand_finger_error,1800,231,0.12833333333333333,111,22,0.1981981981981982,0.09523809523809523,0.12374185908821789,1.5444015444015442
bl_rate_q995__ni_k3_r1,exact_error,1800,25,0.013888888888888888,392,4,0.01020408163265306,0.16,0.014914772727272728,0.7346938775510204
bl_rate_q995__ni_k3_r1,hand_error,1800,25,0.013888888888888888,281,0,0.0,0.0,0.016458196181698487,0.0
bl_rate_q995__ni_k3_r1,within_hand_finger_error,1800,25,0.013888888888888888,111,4,0.036036036036036036,0.16,0.012433392539964476,2.5945945945945947
bl_rate_q995__ni_k3_r2,exact_error,1800,41,0.02277777777777778,392,7,0.017857142857142856,0.17073170731707318,0.024147727272727272,0.7839721254355402
bl_rate_q995__ni_k3_r2,hand_error,1800,41,0.02277777777777778,281,0,0.0,0.0,0.026991441737985518,0.0
bl_rate_q995__ni_k3_r2,within_hand_finger_error,1800,41,0.02277777777777778,111,7,0.06306306306306306,0.17073170731707318,0.020130254588513915,2.768622280817403
bl_rate_q995__ni_k3_r4,exact_error,1800,72,0.04,392,11,0.02806122448979592,0.1527777777777778,0.04332386363636364,0.7015306122448981
bl_rate_q995__ni_k3_r4,hand_error,1800,72,0.04,281,0,0.0,0.0,0.04739960500329164,0.0
bl_rate_q995__ni_k3_r4,within_hand_finger_error,1800,72,0.04,111,11,0.0990990990990991,0.1527777777777778,0.036116044997039666,2.4774774774774775
bl_rate_q995__ni_k5_r1,exact_error,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695
bl_rate_q995__ni_k5_r1,hand_error,1800,8,0.0044444444444444444,281,0,0.0,0.0,0.005266622778143515,0.0
bl_rate_q995__ni_k5_r1,within_hand_finger_error,1800,8,0.0044444444444444444,111,2,0.018018018018018018,0.25,0.003552397868561279,4.054054054054054
bl_rate_q995__ni_k5_r2,exact_error,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695
bl_rate_q995__ni_k5_r2,hand_error,1800,8,0.0044444444444444444,281,0,0.0,0.0,0.005266622778143515,0.0
bl_rate_q995__ni_k5_r2,within_hand_finger_error,1800,8,0.0044444444444444444,111,2,0.018018018018018018,0.25,0.003552397868561279,4.054054054054054
bl_rate_q995__ni_k5_r4,exact_error,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695
bl_rate_q995__ni_k5_r4,hand_error,1800,8,0.0044444444444444444,281,0,0.0,0.0,0.005266622778143515,0.0
bl_rate_q995__ni_k5_r4,within_hand_finger_error,1800,8,0.0044444444444444444,111,2,0.018018018018018018,0.25,0.003552397868561279,4.054054054054054
bl_rate_q990__ni_k2_r1,exact_error,1800,87,0.04833333333333333,392,10,0.025510204081632654,0.11494252873563218,0.0546875,0.5277973258268825
bl_rate_q990__ni_k2_r1,hand_error,1800,87,0.04833333333333333,281,0,0.0,0.0,0.05727452271231073,0.0
bl_rate_q990__ni_k2_r1,within_hand_finger_error,1800,87,0.04833333333333333,111,10,0.09009009009009009,0.11494252873563218,0.045589105979869746,1.863932898415657
bl_rate_q990__ni_k2_r2,exact_error,1800,143,0.07944444444444444,392,17,0.04336734693877551,0.11888111888111888,0.08948863636363637,0.5458826887398316
bl_rate_q990__ni_k2_r2,hand_error,1800,143,0.07944444444444444,281,0,0.0,0.0,0.09414088215931533,0.0
bl_rate_q990__ni_k2_r2,within_hand_finger_error,1800,143,0.07944444444444444,111,17,0.15315315315315314,0.11888111888111888,0.07460035523978685,1.9278019278019278
bl_rate_q990__ni_k2_r4,exact_error,1800,237,0.13166666666666665,392,24,0.061224489795918366,0.10126582278481013,0.1512784090909091,0.46499612503229143
bl_rate_q990__ni_k2_r4,hand_error,1800,237,0.13166666666666665,281,0,0.0,0.0,0.15602369980250164,0.0
bl_rate_q990__ni_k2_r4,within_hand_finger_error,1800,237,0.13166666666666665,111,24,0.21621621621621623,0.10126582278481013,0.1261101243339254,1.6421484775915156
bl_rate_q990__ni_k3_r1,exact_error,1800,33,0.018333333333333333,392,6,0.015306122448979591,0.18181818181818182,0.019176136363636364,0.8348794063079779
bl_rate_q990__ni_k3_r1,hand_error,1800,33,0.018333333333333333,281,0,0.0,0.0,0.021724818959842,0.0
bl_rate_q990__ni_k3_r1,within_hand_finger_error,1800,33,0.018333333333333333,111,6,0.05405405405405406,0.18181818181818182,0.015985790408525755,2.9484029484029484
