set_id,recording_id,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
hy_direct_plus_corroborated,2024-09-02_14-10-41,150,9,0.06,25,0,0.0,0.0,0.072,0.0
hy_direct_plus_corroborated,2024-09-04_19-52-57,150,7,0.04666666666666667,32,0,0.0,0.0,0.059322033898305086,0.0
hy_direct_plus_corroborated,2024-09-05_13-25-10,150,38,0.25333333333333335,14,1,0.07142857142857142,0.02631578947368421,0.27205882352941174,0.28195488721804507
hy_two_of_three_families,2024-02-15_20-07-54,150,9,0.06,59,0,0.0,0.0,0.0989010989010989,0.0
hy_two_of_three_families,2024-02-15_21-40-43,150,13,0.08666666666666667,20,2,0.1,0.15384615384615385,0.08461538461538462,1.153846153846154
hy_two_of_three_families,2024-02-15_21-57-38,150,18,0.12,47,1,0.02127659574468085,0.05555555555555555,0.1650485436893204,0.17730496453900707
hy_two_of_three_families,2024-02-17_21-44-37,150,17,0.11333333333333333,47,5,0.10638297872340426,0.29411764705882354,0.11650485436893204,0.9386733416770964
hy_two_of_three_families,2024-02-17_22-33-45,300,30,0.1,82,5,0.06097560975609756,0.16666666666666666,0.11467889908256881,0.6097560975609756
hy_two_of_three_families,2024-02-22_11-58-09,150,8,0.05333333333333334,13,1,0.07692307692307693,0.125,0.051094890510948905,1.4423076923076923
hy_two_of_three_families,2024-03-11_22-23-29,150,24,0.16,21,4,0.19047619047619047,0.16666666666666666,0.15503875968992248,1.1904761904761902
hy_two_of_three_families,2024-04-08_22-49-18,150,12,0.08,32,4,0.125,0.3333333333333333,0.06779661016949153,1.5624999999999998
hy_two_of_three_families,2024-09-02_14-10-41,150,9,0.06,25,0,0.0,0.0,0.072,0.0
hy_two_of_three_families,2024-09-04_19-52-57,150,17,0.11333333333333333,32,1,0.03125,0.058823529411764705,0.13559322033898305,0.275735294117647
hy_two_of_three_families,2024-09-05_13-25-10,150,12,0.08,14,1,0.07142857142857142,0.08333333333333333,0.08088235294117647,0.8928571428571428
hy_hierarchical,2024-02-15_20-07-54,150,11,0.07333333333333333,59,0,0.0,0.0,0.12087912087912088,0.0
hy_hierarchical,2024-02-15_21-40-43,150,16,0.10666666666666667,20,2,0.1,0.125,0.1076923076923077,0.9375
hy_hierarchical,2024-02-15_21-57-38,150,21,0.14,47,1,0.02127659574468085,0.047619047619047616,0.1941747572815534,0.1519756838905775
hy_hierarchical,2024-02-17_21-44-37,150,18,0.12,47,5,0.10638297872340426,0.2777777777777778,0.1262135922330097,0.8865248226950354
hy_hierarchical,2024-02-17_22-33-45,300,35,0.11666666666666667,82,4,0.04878048780487805,0.11428571428571428,0.14220183486238533,0.4181184668989547
hy_hierarchical,2024-02-22_11-58-09,150,9,0.06,13,1,0.07692307692307693,0.1111111111111111,0.058394160583941604,1.282051282051282
hy_hierarchical,2024-03-11_22-23-29,150,27,0.18,21,4,0.19047619047619047,0.14814814814814814,0.17829457364341086,1.0582010582010581
hy_hierarchical,2024-04-08_22-49-18,150,12,0.08,32,4,0.125,0.3333333333333333,0.06779661016949153,1.5624999999999998
hy_hierarchical,2024-09-02_14-10-41,150,10,0.06666666666666667,25,0,0.0,0.0,0.08,0.0
hy_hierarchical,2024-09-04_19-52-57,150,23,0.15333333333333332,32,1,0.03125,0.043478260869565216,0.1864406779661017,0.20380434782608695
hy_hierarchical,2024-09-05_13-25-10,150,40,0.26666666666666666,14,1,0.07142857142857142,0.025,0.2867647058823529,0.26785714285714285
ni_k2_r1,2024-02-15_20-07-54,150,13,0.08666666666666667,59,0,0.0,0.0,0.14285714285714285,0.0
ni_k2_r1,2024-02-15_21-40-43,150,4,0.02666666666666667,20,1,0.05,0.25,0.023076923076923078,1.875
ni_k2_r1,2024-02-15_21-57-38,150,15,0.1,47,1,0.02127659574468085,0.06666666666666667,0.13592233009708737,0.21276595744680848
ni_k2_r1,2024-02-17_21-44-37,150,6,0.04,47,2,0.0425531914893617,0.3333333333333333,0.038834951456310676,1.0638297872340425
